page, clicks, impressions, ctr, position
https://elysrmedical.store/products/men, 62, 1400, 0.0443, 3.8
https://elysrmedical.store/, 45, 900, 0.0500, 3.2
https://elysrmedical.store/products/women, 38, 850, 0.0447, 4.1
https://elysrmedical.store/products/guides/complete-guide-premature-ejaculation-delay, 15, 420, 0.0357, 4.8
https://elysrmedical.store/education/erectile-dysfunction, 12, 380, 0.0316, 5.4
https://elysrmedical.store/products/guides/best-delay-products-egypt, 11, 310, 0.0355, 4.9
https://elysrmedical.store/education/sexual-health-basics, 8, 300, 0.0267, 6.1
https://elysrmedical.store/products/guides/best-products-for-married-couples, 9, 260, 0.0346, 5.9
https://elysrmedical.store/education/premature-ejaculation, 9, 250, 0.0360, 5.5
https://elysrmedical.store/products/kreva-gel-for-men, 10, 240, 0.0417, 4.5
https://elysrmedical.store/products/royal-honey-gold-vip, 8, 220, 0.0364, 5.2
https://elysrmedical.store/education/safe-supplements, 7, 210, 0.0333, 6.8
https://elysrmedical.store/education/women-orgasm, 6, 190, 0.0316, 7.7
https://elysrmedical.store/products/dooz-14000-delay-cream, 6, 180, 0.0333, 6.6
https://elysrmedical.store/products/hammer-of-thor-capsules, 7, 160, 0.0438, 5.8
https://elysrmedical.store/products/guides/intimacy-devices, 5, 150, 0.0333, 7.2
https://elysrmedical.store/products/guides/marital-health-products, 4, 130, 0.0308, 8.9
https://elysrmedical.store/education/sexual-health-glossary, 4, 120, 0.0333, 8.4
https://elysrmedical.store/products/guides/weak-erection-young-men, 3, 110, 0.0273, 9.8
https://elysrmedical.store/products/guides/royal-honey-products, 2, 95, 0.0211, 11.3
https://elysrmedical.store/about, 3, 80, 0.0375, 6.2
https://elysrmedical.store/education/product-safety-checklist, 3, 90, 0.0333, 9.1
https://elysrmedical.store/products/guides/when-products-are-not-enough, 2, 70, 0.0286, 12.5
